rank,distro,hpd,abiword,alsa,ati,bash,bind,chromi,cups,dhcp,e2fsprogs,firefox,freetype,gcc,gimp,glibc,Gnome-she,gnucash,gnumeric,grub,gtk+,httpd,inkscape,k3b,Kde-work,kmod,libgnome,libreoffice,linux,Lxde-common,mariadb,Mate-desk,mesa,mysql,nautilus,nvidia,openbox,openjdk,openssh,openssl,perl,php,plasma,postfix,posetgresql,python,qt,samba,systemd,thunderbird,vim,vlc,xfdesktop,xorg,
85,gparted,154,1,1,1,4,1,1,1,10,6,1,12,1,1,5,1,1,1,9,23,1,1,1,1,9,1,1,40,1,1,1,27,1,1,1,1,1,12,19,1,1,1,1,1,1,1,1,12,1,6,1,1,19,0
86,ubuntukylin,154,0,6,1,4,1,15,16,8,5,25,8,16,1,7,1,1,1,7,22,1,1,1,1,9,1,20,2,5,1,1,1,2,1,3,1,1,1,20,2,3,1,1,1,1,2,26,14,3,2,12,1,1,1
87,handy,153,1,5,1,4,1,1,12,8,5,22,8,1,4,5,1,1,1,1,11,1,1,1,1,6,1,10,13,1,1,1,7,1,1,1,1,12,1,11,13,1,1,1,1,9,8,1,4,11,6,9,3,16,0
88,linuxconsole,150,1,4,1,3,1,1,1,1,3,3,5,1,1,1,1,1,1,1,8,1,1,1,11,1,1,1,6,3,1,1,34,1,1,1,2,1,5,3,5,1,10,1,1,6,1,1,1,1,4,1,1,5,0
89,extix,143,1,6,1,4,1,18,16,8,5,25,8,16,4,7,1,1,1,9,22,1,1,3,1,9,1,20,35,1,1,1,25,1,1,1,6,1,12,19,13,1,6,1,1,9,14,14,10,15,6,1,1,18,0
90,emmabuntus,142,4,4,1,4,1,15,10,5,9,24,8,5,3,5,1,1,9,9,13,1,4,1,1,3,4,7,21,1,1,1,18,1,5,1,1,12,8,7,10,1,1,1,1,7,10,18,2,15,6,10,5,9,0
91,netbsd,141,5,4,1,6,14,1,16,9,2,23,12,7,4,1,1,4,7,2,21,6,6,4,1,1,4,16,1,1,1,1,32,12,3,1,5,2,14,19,14,10,1,11,7,11,9,21,1,14,6,5,7,1,0
92,smartos,141,7,9,10,8,16,23,18,13,12,29,16,18,10,11,17,7,11,13,31,11,8,7,11,14,6,26,46,7,15,10,39,15,15,16,8,23,16,22,16,19,10,15,11,15,19,28,16,19,11,14,9,23,0
93,siduction,140,4,5,1,4,1,6,12,8,5,4,8,11,1,5,4,1,5,9,18,1,1,2,11,6,4,10,15,4,1,1,7,1,7,1,4,1,10,10,12,1,10,1,1,8,8,1,4,5,6,8,3,12,0
94,slitaz,139,1,4,1,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,7,1,1,1,11,4,1,1,23,1,1,1,1,1,1,1,4,1,1,5,1,1,10,1,1,1,1,1,1,1,1,1,1,4,0
95,solaris,137,7,9,8,2,8,23,4,13,12,27,4,2,10,11,17,7,11,2,4,2,8,7,11,14,2,26,46,7,15,10,39,3,2,2,8,23,16,3,4,2,10,15,11,2,19,3,16,17,4,14,9,2,0
96,trisquel,137,1,4,1,4,1,1,10,5,9,11,8,1,3,5,1,1,1,9,13,1,1,1,1,3,4,5,7,1,1,1,3,1,5,1,1,1,8,7,10,1,1,1,1,7,7,18,2,1,6,1,1,9,0
97,avlinux,136,1,2,1,2,1,3,3,3,2,11,3,3,2,2,1,1,1,3,5,1,4,1,11,11,4,8,5,1,1,1,33,1,2,1,1,5,2,2,3,1,10,1,1,3,3,5,1,5,3,2,2,4,0
98,porteus,136,1,5,1,3,1,1,1,1,5,5,7,1,7,3,1,1,1,1,8,1,1,1,11,6,1,1,14,1,1,8,8,1,1,1,4,1,10,10,9,1,10,1,1,7,7,10,1,1,1,1,5,6,0
99,wifislax,136,1,6,1,4,1,12,14,9,10,1,11,11,4,7,1,1,1,4,17,6,1,1,5,8,4,1,31,1,5,1,15,1,1,1,1,17,10,14,9,9,1,1,1,4,9,21,1,1,6,1,7,16,0
100,parsix,135,1,5,1,4,1,1,12,8,5,22,8,11,4,5,8,1,1,9,21,1,5,1,1,6,1,10,33,1,1,1,7,1,9,1,1,12,10,11,13,1,1,1,1,9,8,14,4,1,6,10,1,16,0
